"Age","Country","Edu","Title","CompSize","DSPeople","CompML","Compensation","YOE","RecPL","YOE_ML","DSCourse","PLNo","VisualNo","HardwareNo","CloudPlatformNo","DatabaseNo"
"22-24","France","Master’s degree","Software Engineer","1000-9,999 employees","0","I do not know","30,000-39,999","1-2 years","Python","1-2 years",4,6,1,2,0,0
"40-44","Australia","Master’s degree","Other","> 10,000 employees","20+","I do not know","250,000-299,999","1-2 years","Python","2-3 years",4,4,3,2,1,1
"22-24","India","Bachelor’s degree","Other","0-49 employees","0","No (we do not use ML methods)","4,000-4,999","< 1 years","Python","< 1 years",0,2,3,2,0,0
"50-54","France","Master’s degree","Data Scientist","0-49 employees","3-4","We have well established ML methods (i.e., models in production for more than 2 years)","60,000-69,999","20+ years","Java","10-15 years",0,2,1,2,1,2
"22-24","India","Master’s degree","Data Scientist","50-249 employees","20+","We are exploring ML methods (and may one day put a model into production)","10,000-14,999","3-5 years","Python","2-3 years",5,3,4,2,3,2
"22-24","United States of America","Bachelor’s degree","Data Scientist","> 10,000 employees","20+","We recently started using ML methods (i.e., models in production for less than 2 years)","80,000-89,999","3-5 years","Python","3-4 years",2,1,2,1,0,0
"55-59","Netherlands","Master’s degree","Other","0-49 employees","1-2","We are exploring ML methods (and may one day put a model into production)","$0-999","5-10 years","Python","< 1 years",1,2,3,1,0,1
"30-34","Germany","Master’s degree","Statistician","0-49 employees","5-9","We recently started using ML methods (i.e., models in production for less than 2 years)","2,000-2,999","5-10 years","R","4-5 years",1,1,1,1,1,1
"30-34","Germany","Bachelor’s degree","Data Scientist","50-249 employees","5-9","We recently started using ML methods (i.e., models in production for less than 2 years)","70,000-79,999","5-10 years","R","4-5 years",1,2,1,1,1,1
"30-34","United States of America","Master’s degree","Product/Project Manager","> 10,000 employees","20+","I do not know","90,000-99,999","3-5 years","Python","2-3 years",7,1,3,1,0,0
"50-54","United States of America","Master’s degree","Data Analyst","50-249 employees","1-2","We use ML methods for generating insights (but do not put working models into production)","125,000-149,999","10-20 years","SQL","1-2 years",3,3,3,1,1,1
"18-21","Australia","Bachelor’s degree","Software Engineer","0-49 employees","1-2","We are exploring ML methods (and may one day put a model into production)","$0-999","1-2 years","Python","2-3 years",2,4,1,2,1,1
"35-39","France","Master’s degree","Product/Project Manager","> 10,000 employees","20+","We recently started using ML methods (i.e., models in production for less than 2 years)","$0-999","3-5 years","Python","4-5 years",3,1,2,1,1,2
"25-29","France","Doctoral degree","Research Scientist","50-249 employees","3-4","We have well established ML methods (i.e., models in production for more than 2 years)","40,000-49,999","5-10 years","R","4-5 years",2,2,2,2,0,0
"22-24","Ireland","Master’s degree","Data Analyst","1000-9,999 employees","10-14","We are exploring ML methods (and may one day put a model into production)","20,000-24,999","1-2 years","Python","1-2 years",3,2,3,1,3,1
"35-39","United States of America","Bachelor’s degree","Other","250-999 employees","10-14","We have well established ML methods (i.e., models in production for more than 2 years)","125,000-149,999","5-10 years","Python","2-3 years",3,1,1,1,0,0
"25-29","India","Master’s degree","Business Analyst","> 10,000 employees","0","We are exploring ML methods (and may one day put a model into production)","$0-999","< 1 years","Python","< 1 years",0,1,2,1,0,2
"40-44","Russia","Master’s degree","Software Engineer","50-249 employees","1-2","No (we do not use ML methods)","10,000-14,999","1-2 years","Python","< 1 years",3,5,3,2,1,4
"25-29","Greece","Master’s degree","Research Scientist","250-999 employees","20+","We have well established ML methods (i.e., models in production for more than 2 years)","15,000-19,999","5-10 years","Python","1-2 years",1,3,1,2,0,0
"30-34","Greece","Master’s degree","Software Engineer","0-49 employees","0","No (we do not use ML methods)","20,000-24,999","1-2 years","Python","1-2 years",4,3,3,1,1,3
"35-39","India","Master’s degree","Software Engineer","0-49 employees","1-2","We are exploring ML methods (and may one day put a model into production)","100,000-124,999","10-20 years","Python","2-3 years",1,2,2,1,1,3
"30-34","Ukraine","Doctoral degree","Research Scientist","1000-9,999 employees","3-4","No (we do not use ML methods)","$0-999","3-5 years","R","2-3 years",1,1,1,1,0,0
"25-29","Pakistan","Master’s degree","Research Scientist","0-49 employees","10-14","We use ML methods for generating insights (but do not put working models into production)","$0-999","1-2 years","Python","< 1 years",5,1,1,1,0,0
"30-34","Japan","Master’s degree","Software Engineer","> 10,000 employees","1-2","We recently started using ML methods (i.e., models in production for less than 2 years)","90,000-99,999","1-2 years","Python","2-3 years",1,3,2,2,0,0
